,average_rating,num_ratings,Title,PosterURL
m2858,4.3173862310385065,3428,American Beauty (1999),https://liangfgithub.github.io/MovieImages/2858.jpg?raw=true
m260,4.453694416583082,2991,Star Wars: Episode IV - A New Hope (1977),https://liangfgithub.github.io/MovieImages/260.jpg?raw=true
m1196,4.292976588628763,2990,Star Wars: Episode V - The Empire Strikes Back (1980),https://liangfgithub.github.io/MovieImages/1196.jpg?raw=true
m1210,4.022892819979188,2883,Star Wars: Episode VI - Return of the Jedi (1983),https://liangfgithub.github.io/MovieImages/1210.jpg?raw=true
m480,3.7638473053892216,2672,Jurassic Park (1993),https://liangfgithub.github.io/MovieImages/480.jpg?raw=true
m2028,4.337353938937053,2653,Saving Private Ryan (1998),https://liangfgithub.github.io/MovieImages/2028.jpg?raw=true
m589,4.058512646281616,2649,Terminator 2: Judgment Day (1991),https://liangfgithub.github.io/MovieImages/589.jpg?raw=true
m2571,4.315830115830116,2590,"Matrix, The (1999)",https://liangfgithub.github.io/MovieImages/2571.jpg?raw=true
m1270,3.9903213317847466,2583,Back to the Future (1985),https://liangfgithub.github.io/MovieImages/1270.jpg?raw=true
m593,4.3518231186966645,2578,"Silence of the Lambs, The (1991)",https://liangfgithub.github.io/MovieImages/593.jpg?raw=true
